Zips,MedianIncome 2012-2016,% of Pop graduated from HS 2012-2016
60602,85313,100
60605,99725,98
60607,86476,95.3
60608,37574,69.2
60609,32721,70.7
60610,77094,95.7
60612,37137,82.2
60613,73810,96.5
60614,94640,97.6
60615,40587,93.3
60616,42776,81.9
60617,37254,79
60618,62102,81.8
60619,32024,87.6
60620,32401,84.7
60621,20150,76.6
60622,79085,89.5
60623,30048,57.1
60624,22160,73.3
60625,59601,83.7
60626,36978,85.9
60627,NA,NA
60628,35654,84.6
60629,41471,67.6
60630,67469,88.3
60631,79458,93.7
60632,40829,60.4
60633,50754,85.5
60634,58184,85.2
60636,27475,77.7
60637,27091,86.2
60638,64408,83
60639,39913,61.2
60640,47390,89.4
60641,53158,78.5
60642,82404,90.7
60643,59686,90.6
60644,26892,76.3
60645,49132,83.1
60646,79079,92.6
60647,61028,85.3
60649,26246,88.2
60651,34397,74
60652,64574,83.7
60653,26176,84.1
60655,91102,96.4
60656,58177,90.7
60657,84319,98.3
60659,51527,83.3
60660,43794,89.9
60661,101829,99.7
60707,55513,85.3
60827,30587,84.2
